"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"883","1171000000","28","서울특별시","송파구","평화초등학교 운동장","1171010700","1171062000","서울특별시 송파구 송파대로26길 22(가락동)","8136","127.122171","37.491285","210804.256490","543543.888912"
"884","1171000000","22","서울특별시","송파구","개롱초등학교 운동장","1171011200","1171057000","서울특별시 송파구 문정로 211(오금동)","2441","127.139538","37.496934","212339.189889","544173.020138"
"885","1171000000","34","서울특별시","송파구","문현초등학교 운동장","1171010900","1171064600","서울특별시 송파구 충민로 137(장지동)","2113","127.130462","37.482432","211538.863990","542562.286979"
"610","1168000000","79","서울특별시","강남구","율현초등학교 운동장","1168011200","1168070000","서울특별시 강남구 밤고개로21길 15(자곡동)","1900","127.108709","37.474498","209615.942132","541679.314277"
"611","1168000000","91","서울특별시","강남구","도담공원","1168011100","1168070000","서울특별시 강남구 세곡동 548","1900","127.098627","37.467280","208724.982355","540877.162631"
"612","1168000000","111","서울특별시","강남구","역삼은행나무공원","1168010100","1168064000","서울특별시 강남구 역삼동 611","700","127.031249","37.505447","202762.997690","545109.122297"
"613","1168000000","113","서울특별시","강남구","역삼중학교 운동장","1168010100","1168065000","서울특별시 강남구 도곡로43길 10(역삼동)","4200","127.048726","37.495589","204308.860079","544015.656394"
"614","1154500000","67","서울특별시","금천구","금산초등학교 운동장","1154510300","1154569000","서울특별시 금천구 시흥대로24길 57(시흥동)","5313","126.908166","37.441878","191873.225102","538057.290349"
"615","1150000000","104","서울특별시","강서구","영일고등학교 운동장","1150010200","1150053000","서울특별시 강서구 등촌로51가길 26(등촌동)","2332","126.861710","37.547922","187779.500476","549831.868676"
"616","1141000000","49","서울특별시","서대문구","홍연초등학교 운동장","1141011800","1141068500","서울특별시 서대문구 백련사길 55(홍은동)","560","126.931016","37.581559","193906.718463","553558.395587"
"617","1165000000","62","서울특별시","서초구","방배1동 공영주차장","1165010100","1165053000","서울특별시 서초구 방배로23길 31-6 (방배동)","631","126.992487","37.485346","199335.572119","542877.707667"
"618","1117000000","68","서울특별시","용산구","한남어린이공원","1117013100","1117068500","서울특별시 용산구 한남동 15-5","490","127.013859","37.537241","201224.911992","548637.476224"
"619","1168000000","80","서울특별시","강남구","세곡중학교 운동장","1168011200","1168070000","서울특별시 강남구 자곡로 81(자곡동)","2433","127.092497","37.471622","208182.221302","541358.545073"
"620","1168000000","89","서울특별시","강남구","세곡천공원","1168011100","1168070000","서울특별시 강남구 세곡동 522-1","1200","127.101284","37.463208","208960.513210","540425.575757"
"621","1150000000","116","서울특별시","강서구","소나무 어린이 공원","1150010300","1150054000","서울특별시 강서구 화곡동 29-31","876","126.847839","37.547091","186553.524827","549741.520369"
